,Month,WeekOfMonth,DayOfWeek,Make,AccidentArea,DayOfWeekClaimed,MonthClaimed,WeekOfMonthClaimed,Sex,MaritalStatus,Fault,PolicyType,VehicleCategory,VehiclePrice,FraudFound_P,Deductible,DriverRating,Days_Policy_Accident,Days_Policy_Claim,PastNumberOfClaims,AgeOfVehicle,AgeOfPolicyHolder,PoliceReportFiled,WitnessPresent,AgentType,NumberOfSuppliments,AddressChange_Claim,NumberOfCars,Year,BasePolicy,age_bins
21,Jan,2,Saturday,Chevrolet,Urban,Monday,Jan,2,Male,Married,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,400,2,more than 30,more than 30,1,more than 7,41 to 50,No,No,External,none,4 to 8 years,2 vehicles,1994,Collision,middle
22,Aug,3,Sunday,Mazda,Urban,Thursday,Aug,5,Male,Married,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,400,3,more than 30,more than 30,1,more than 7,51 to 65,No,No,External,1 to 2,no change,1 vehicle,1994,Liability,old
23,Jun,3,Saturday,Pontiac,Urban,Tuesday,Jun,3,Male,Single,Third Party,Sedan - Liability,Sport,30000 to 39000,0,400,3,more than 30,more than 30,none,6 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1994,Liability,young
24,Sep,3,Friday,Mazda,Urban,Friday,Sep,3,Male,Married,Policy Holder,Sedan - All Perils,Sedan,more than 69000,0,400,3,more than 30,more than 30,more than 4,more than 7,36 to 40,Yes,No,External,none,no change,1 vehicle,1994,All Perils,middle
25,Mar,3,Monday,Pontiac,Urban,Tuesday,Apr,1,Male,Married,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,400,4,more than 30,more than 30,more than 4,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,1994,Liability,middle
26,Mar,3,Thursday,Honda,Urban,Thursday,Jun,4,Male,Married,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,400,2,more than 30,more than 30,more than 4,5 years,26 to 30,No,No,External,more than 5,no change,1 vehicle,1994,Collision,teens
27,May,3,Sunday,Accura,Urban,Friday,May,4,Male,Married,Policy Holder,Sedan - All Perils,Sedan,30000 to 39000,0,400,3,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1994,All Perils,middle
28,Jul,1,Saturday,Honda,Urban,Tuesday,Sep,4,Male,Single,Policy Holder,Sedan - All Perils,Sedan,more than 69000,1,400,1,more than 30,more than 30,none,new,16 to 17,No,No,External,none,no change,1 vehicle,1994,All Perils,teens
29,May,3,Monday,Mazda,Urban,Wednesday,May,4,Female,Married,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,400,3,more than 30,more than 30,none,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Collision,young
30,Mar,2,Friday,Dodge,Urban,Saturday,Mar,2,Male,Married,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,400,1,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,Internal,none,no change,1 vehicle,1994,Collision,middle
31,Mar,1,Sunday,Honda,Urban,Tuesday,Mar,2,Male,Single,Policy Holder,Sedan - Collision,Sedan,more than 69000,0,400,1,more than 30,more than 30,1,new,16 to 17,No,No,External,none,no change,1 vehicle,1994,Collision,teens
32,Mar,2,Wednesday,Chevrolet,Urban,Wednesday,Mar,2,Male,Single,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,400,3,more than 30,more than 30,more than 4,7 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1994,Collision,middle
33,Jan,4,Monday,Honda,Urban,Tuesday,Jan,4,Male,Single,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,400,4,more than 30,more than 30,none,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994,Collision,young
34,Jan,4,Tuesday,Ford,Urban,Wednesday,Jan,4,Male,Married,Policy Holder,Utility - All Perils,Utility,more than 69000,0,400,1,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,All Perils,middle
35,Oct,2,Wednesday,Chevrolet,Urban,Thursday,Oct,2,Male,Single,Third Party,Sedan - Liability,Sport,20000 to 29000,0,400,3,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,Liability,young
36,Oct,2,Tuesday,Honda,Urban,Thursday,Oct,3,Male,Married,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,400,4,more than 30,more than 30,none,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,Collision,young
37,Sep,2,Friday,Mazda,Urban,Friday,Sep,3,Male,Single,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,400,2,more than 30,more than 30,none,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,Collision,young
38,Nov,4,Tuesday,Honda,Urban,Thursday,Nov,4,Male,Married,Policy Holder,Sport - Collision,Sport,more than 69000,0,400,1,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1994,Collision,middle
39,Nov,4,Thursday,Toyota,Urban,Tuesday,Jan,1,Male,Married,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,400,3,more than 30,more than 30,none,7 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994,Collision,young
40,Mar,4,Wednesday,Chevrolet,Urban,Wednesday,Apr,1,Female,Married,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,400,1,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,Collision,young
41,Mar,3,Friday,Pontiac,Urban,Wednesday,Mar,4,Male,Married,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,400,1,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,3 to 5,no change,3 to 4,1994,All Perils,middle
42,Jul,1,Monday,Toyota,Urban,Monday,Jul,1,Female,Single,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,400,4,more than 30,more than 30,none,4 years,36 to 40,No,No,External,none,4 to 8 years,2 vehicles,1994,Liability,middle
43,Jan,3,Tuesday,Honda,Urban,Monday,Jan,4,Male,Married,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,400,2,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1994,Collision,young
44,Jan,3,Wednesday,Toyota,Urban,Wednesday,Jan,4,Male,Married,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,400,1,more than 30,more than 30,none,more than 7,over 65,No,No,External,none,no change,1 vehicle,1994,Collision,old
45,Feb,2,Wednesday,Pontiac,Urban,Thursday,Feb,2,Female,Married,Third Party,Sedan - All Perils,Sedan,less than 20000,0,400,3,more than 30,more than 30,2 to 4,5 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,All Perils,young
46,Feb,2,Thursday,Pontiac,Urban,Monday,Feb,3,Male,Single,Third Party,Sedan - Collision,Sedan,30000 to 39000,0,400,4,more than 30,more than 30,none,6 years,31 to 35,No,No,Internal,none,no change,1 vehicle,1994,Collision,young
47,Nov,4,Thursday,Mazda,Urban,Friday,Nov,4,Male,Married,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,400,3,more than 30,more than 30,2 to 4,5 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,Liability,young
48,Apr,3,Thursday,Chevrolet,Urban,Thursday,May,1,Female,Married,Policy Holder,Sedan - Liability,Sport,more than 69000,0,400,1,more than 30,more than 30,2 to 4,6 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1994,Liability,young
49,Apr,3,Friday,Pontiac,Urban,Tuesday,Apr,3,Male,Married,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,400,4,more than 30,more than 30,more than 4,more than 7,51 to 65,No,No,External,3 to 5,no change,1 vehicle,1994,Collision,middle
50,May,4,Friday,Pontiac,Urban,Friday,May,4,Male,Married,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,400,2,more than 30,more than 30,more than 4,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1994,Liability,middle
51,Jun,4,Wednesday,Pontiac,Urban,Friday,Jun,4,Male,Married,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,500,3,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,3 to 5,2 to 3 years,1 vehicle,1994,Liability,young
52,Jul,3,Sunday,Honda,Rural,Wednesday,Jan,4,Male,Married,Policy Holder,Sport - Collision,Sport,more than 69000,1,400,4,more than 30,more than 30,none,4 years,26 to 30,No,No,External,3 to 5,no change,1 vehicle,1994,Collision,teens
53,Jul,4,Saturday,Honda,Urban,Wednesday,Aug,2,Male,Married,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,1,400,1,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,3 to 5,no change,1 vehicle,1994,Collision,middle
54,Jun,4,Tuesday,Pontiac,Urban,Tuesday,Jun,4,Male,Single,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,400,1,more than 30,more than 30,1,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1994,Collision,middle
55,Dec,3,Monday,Mazda,Urban,Wednesday,Dec,3,Male,Married,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,400,4,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,3 to 5,no change,1 vehicle,1994,All Perils,middle
56,Jun,4,Friday,Honda,Urban,Thursday,Jun,5,Male,Single,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,400,4,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,All Perils,young
57,Nov,2,Friday,Accura,Urban,Monday,Nov,2,Male,Single,Policy Holder,Sedan - Collision,Sedan,more than 69000,0,400,3,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Collision,young
58,May,1,Monday,Honda,Rural,Wednesday,May,4,Male,Single,Policy Holder,Sedan - Liability,Sport,more than 69000,0,400,4,more than 30,more than 30,none,new,16 to 17,No,No,External,none,no change,1 vehicle,1994,Liability,teens
59,May,1,Wednesday,Chevrolet,Urban,Monday,May,2,Female,Single,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,400,4,more than 30,more than 30,none,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994,Collision,young
60,Nov,1,Monday,Toyota,Urban,Monday,Nov,3,Male,Single,Policy Holder,Sedan - All Perils,Sedan,30000 to 39000,0,400,4,more than 30,more than 30,none,5 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,All Perils,young
61,Sep,2,Tuesday,Pontiac,Urban,Friday,Jan,4,Male,Married,Policy Holder,Utility - Collision,Utility,40000 to 59000,0,400,4,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1994,Collision,middle
62,Nov,4,Sunday,Honda,Urban,Friday,Jan,3,Male,Single,Third Party,Sedan - All Perils,Sedan,more than 69000,0,400,2,more than 30,more than 30,2 to 4,new,16 to 17,No,No,External,none,no change,1 vehicle,1994,All Perils,teens
63,Feb,5,Monday,Toyota,Urban,Tuesday,Mar,1,Male,Married,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,400,3,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,more than 5,4 to 8 years,2 vehicles,1994,Liability,young
64,Dec,1,Friday,Pontiac,Urban,Tuesday,Dec,2,Male,Single,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,400,1,more than 30,more than 30,none,7 years,41 to 50,No,No,External,none,no change,1 vehicle,1994,Collision,middle
65,Dec,4,Friday,Mazda,Urban,Monday,Jan,2,Male,Single,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,400,3,more than 30,more than 30,none,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,All Perils,young
66,Mar,3,Friday,Mercury,Urban,Friday,Mar,3,Male,Single,Third Party,Sedan - Collision,Sedan,more than 69000,0,400,2,more than 30,more than 30,1,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,Collision,young
67,Aug,4,Thursday,Mazda,Urban,Monday,Aug,5,Male,Married,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,400,1,more than 30,more than 30,2 to 4,more than 7,51 to 65,No,No,External,more than 5,no change,1 vehicle,1994,Liability,old
68,Jan,1,Sunday,Toyota,Urban,Tuesday,Jan,1,Male,Married,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,400,1,more than 30,more than 30,1,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,1994,Collision,old
69,Jan,1,Sunday,Honda,Urban,Wednesday,Jan,1,Male,Married,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,400,2,more than 30,more than 30,2 to 4,7 years,41 to 50,No,No,External,more than 5,no change,1 vehicle,1994,Liability,middle
70,Jan,1,Sunday,Honda,Urban,Wednesday,Jan,1,Male,Single,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,400,1,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1994,Collision,middle
71,Jan,1,Tuesday,Mazda,Urban,Thursday,Jan,1,Male,Married,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,400,3,more than 30,more than 30,1,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994,Collision,young
72,Sep,4,Thursday,Chevrolet,Urban,Monday,Jan,5,Female,Single,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,400,3,15 to 30,more than 30,1,5 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision,young
73,Jan,1,Monday,Honda,Urban,Tuesday,Jan,1,Male,Married,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,400,2,more than 30,more than 30,1,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,1994,Collision,middle
74,Apr,5,Saturday,Mazda,Urban,Tuesday,May,1,Male,Married,Third Party,Sedan - Collision,Sedan,more than 69000,0,400,3,more than 30,more than 30,more than 4,7 years,51 to 65,No,No,External,more than 5,no change,1 vehicle,1994,Collision,middle
75,Aug,1,Saturday,Ford,Urban,Wednesday,Aug,4,Male,Married,Third Party,Sedan - Collision,Sedan,30000 to 39000,0,400,4,more than 30,more than 30,more than 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision,young
76,Oct,4,Tuesday,Chevrolet,Urban,Monday,Jan,1,Male,Married,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,400,3,more than 30,more than 30,none,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,All Perils,young
77,Feb,2,Friday,Honda,Urban,Tuesday,Feb,3,Female,Married,Third Party,Sport - Collision,Sport,more than 69000,0,400,3,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1994,Collision,middle
78,Feb,2,Friday,Jaguar,Rural,Tuesday,Feb,3,Female,Single,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,400,1,more than 30,more than 30,2 to 4,5 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1994,Liability,young
79,Feb,4,Saturday,Toyota,Urban,Friday,Mar,1,Female,Married,Third Party,Sedan - Collision,Sedan,30000 to 39000,0,400,1,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,Collision,young
80,Jan,3,Wednesday,Pontiac,Urban,Wednesday,Jan,3,Male,Married,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,400,4,more than 30,more than 30,2 to 4,6 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Liability,young
81,Jan,3,Thursday,Mazda,Urban,Friday,Jan,4,Male,Single,Third Party,Sedan - Liability,Sport,20000 to 29000,0,400,2,more than 30,more than 30,1,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Liability,young
82,Dec,2,Friday,Chevrolet,Urban,Thursday,Apr,3,Male,Married,Third Party,Sedan - All Perils,Sedan,more than 69000,0,400,4,more than 30,more than 30,none,7 years,36 to 40,No,No,External,none,no change,3 to 4,1994,All Perils,young
83,Nov,5,Tuesday,Toyota,Urban,Friday,Feb,1,Female,Married,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,400,4,more than 30,more than 30,none,6 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1994,Liability,middle
84,Dec,1,Wednesday,Honda,Urban,Monday,Jan,1,Male,Single,Policy Holder,Sedan - Liability,Sport,more than 69000,0,400,2,more than 30,more than 30,more than 4,new,16 to 17,No,No,External,none,4 to 8 years,2 vehicles,1994,Liability,teens
85,Dec,2,Tuesday,Chevrolet,Rural,Tuesday,Mar,1,Male,Married,Policy Holder,Utility - Liability,Utility,more than 69000,0,400,4,more than 30,more than 30,1,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,Liability,young
86,May,4,Tuesday,Toyota,Urban,Wednesday,May,4,Male,Single,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,400,3,more than 30,more than 30,1,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,Collision,young
87,May,4,Sunday,Mazda,Urban,Wednesday,May,4,Male,Single,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,400,2,more than 30,more than 30,2 to 4,4 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,All Perils,young
88,Oct,5,Saturday,Pontiac,Urban,Monday,Oct,5,Male,Married,Third Party,Sedan - All Perils,Sedan,30000 to 39000,0,400,4,more than 30,more than 30,none,7 years,over 65,No,No,External,3 to 5,no change,1 vehicle,1994,All Perils,old
89,Oct,4,Sunday,Honda,Urban,Monday,Oct,4,Male,Single,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,400,2,more than 30,more than 30,2 to 4,4 years,26 to 30,No,No,External,none,no change,1 vehicle,1994,Liability,young
90,Oct,4,Sunday,Honda,Urban,Tuesday,Oct,4,Female,Single,Third Party,Sport - Collision,Sport,more than 69000,0,400,1,more than 30,more than 30,none,6 years,26 to 30,No,No,External,more than 5,no change,1 vehicle,1994,Collision,young
91,Jan,2,Wednesday,Pontiac,Urban,Wednesday,Jan,2,Male,Single,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,400,2,more than 30,more than 30,more than 4,7 years,36 to 40,No,No,External,3 to 5,1 year,1 vehicle,1994,Liability,young
92,Jan,2,Thursday,Honda,Urban,Monday,Jan,4,Male,Married,Policy Holder,Sedan - All Perils,Sedan,30000 to 39000,0,400,1,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,All Perils,young
93,Aug,4,Saturday,Pontiac,Urban,Monday,Aug,5,Male,Married,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,700,3,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,Collision,young
94,Nov,2,Thursday,Honda,Urban,Friday,Jan,3,Male,Single,Policy Holder,Sport - Collision,Sport,more than 69000,1,400,3,more than 30,more than 30,none,7 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1994,Collision,young
95,May,2,Tuesday,Honda,Urban,Thursday,May,2,Male,Married,Third Party,Sedan - Collision,Sedan,30000 to 39000,0,400,4,more than 30,more than 30,none,more than 7,51 to 65,No,No,External,more than 5,no change,1 vehicle,1994,Collision,middle
96,Nov,2,Friday,Toyota,Urban,Tuesday,Jan,1,Male,Married,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,1,400,2,more than 30,more than 30,1,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Collision,young
97,Jan,3,Thursday,Toyota,Urban,Monday,Jan,4,Male,Single,Policy Holder,Sedan - All Perils,Sedan,less than 20000,0,400,4,more than 30,more than 30,1,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,All Perils,young
98,Nov,3,Monday,Pontiac,Urban,Wednesday,Jan,4,Male,Married,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,400,4,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,All Perils,young
99,Jan,4,Friday,Pontiac,Urban,Monday,Jan,5,Male,Married,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,400,1,more than 30,more than 30,1,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,All Perils,young
100,Nov,3,Tuesday,Chevrolet,Urban,Wednesday,Jan,2,Male,Married,Policy Holder,Utility - All Perils,Utility,more than 69000,1,400,1,more than 30,more than 30,more than 4,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,All Perils,young
101,Jan,5,Saturday,Pontiac,Urban,Monday,Jan,5,Female,Married,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,400,4,more than 30,more than 30,1,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,All Perils,young
102,Jan,4,Friday,Ford,Urban,Monday,Feb,1,Female,Married,Policy Holder,Sedan - All Perils,Sedan,more than 69000,0,500,2,more than 30,more than 30,2 to 4,6 years,36 to 40,Yes,No,External,3 to 5,no change,1 vehicle,1994,All Perils,young
103,Jan,1,Thursday,Mazda,Urban,Tuesday,Jan,2,Male,Married,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,400,3,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,1994,All Perils,middle
104,Jan,1,Tuesday,Pontiac,Urban,Thursday,Jan,1,Male,Single,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,400,4,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994,All Perils,young
105,Dec,3,Friday,Dodge,Urban,Saturday,Dec,3,Male,Married,Policy Holder,Sedan - Liability,Sport,more than 69000,0,400,1,more than 30,more than 30,none,7 years,31 to 35,No,No,External,1 to 2,4 to 8 years,2 vehicles,1994,Liability,young
106,Aug,1,Monday,Mazda,Urban,Thursday,Aug,1,Male,Married,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,400,2,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision,young
